data,id,nazwa,ogolem,liczba_zgonow,liczba_wyleczonych,osoby_z_kwarantanny_po_powrocie_z_zagranicy,osoby_z_kwarantanny_po_kontakcie_z_osoba_zakazona,zachorowania_poprzez_kontakt_w_szpitalu_lub_przychodni,zachorowania_w_dps,zachorowania_w_zol,zaklady_pracy,szkoly,uczelnie,akademiki,wesela,puby_kawiarnie_restauracje_kluby,transport_publiczny,inne_przypadki_zachorowan
2020-07-02,4,dąbrowski,15,0,11,2,12,1,0,0,NA,NA,NA,NA,NA,NA,NA,0
2020-07-02,5,gorlicki,10,0,7,1,6,1,0,0,NA,NA,NA,NA,NA,NA,NA,2
2020-07-02,6,krakowski,86,1,63,4,38,19,0,0,NA,NA,NA,NA,NA,NA,NA,25
2020-07-02,7,limanowski,124,3,104,0,68,25,0,0,NA,NA,NA,NA,NA,NA,NA,31
2020-07-02,8,miechowski,12,0,12,0,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,7
2020-07-02,9,myślenicki,159,0,149,0,86,18,0,0,NA,NA,NA,NA,NA,NA,NA,55
2020-07-02,10,nowosądecki,115,0,30,7,108,0,0,0,NA,NA,NA,NA,NA,NA,NA,0
2020-07-02,11,nowotarski,14,0,9,2,4,1,0,0,NA,NA,NA,NA,NA,NA,NA,7
2020-07-02,12,olkuski,13,0,10,1,0,5,0,0,NA,NA,NA,NA,NA,NA,NA,7
2020-07-02,13,oświęcimski,105,4,65,2,46,13,0,0,NA,NA,NA,NA,NA,NA,NA,44
2020-07-02,14,proszowicki,11,2,6,0,0,5,0,0,NA,NA,NA,NA,NA,NA,NA,6
2020-07-02,15,suski,194,0,112,0,115,0,0,0,NA,NA,NA,NA,NA,NA,NA,79
2020-07-02,16,tarnowski,113,3,20,3,82,2,22,0,NA,NA,NA,NA,NA,NA,NA,4
2020-07-02,17,tatrzański,7,0,4,1,4,1,0,0,NA,NA,NA,NA,NA,NA,NA,1
2020-07-02,18,wadowicki,34,2,14,0,16,4,0,0,NA,NA,NA,NA,NA,NA,NA,14
2020-07-02,19,wielicki,127,5,116,1,117,9,0,0,NA,NA,NA,NA,NA,NA,NA,0
2020-07-02,20,m. Kraków,344,19,248,23,104,99,0,0,NA,NA,NA,NA,NA,NA,NA,118
2020-07-02,21,m. Nowy Sącz,38,0,28,3,34,1,0,0,NA,NA,NA,NA,NA,NA,NA,0
2020-07-02,22,m. Tarnów,14,0,12,8,3,2,0,0,NA,NA,NA,NA,NA,NA,NA,1
2020-07-03,1,bocheński,152,3,140,2,65,12,54,0,NA,NA,NA,NA,NA,NA,NA,19
2020-07-03,2,brzeski,69,2,64,2,5,48,0,2,NA,NA,NA,NA,NA,NA,NA,12
2020-07-03,3,chrzanowski,37,0,23,1,18,0,0,0,NA,NA,NA,NA,NA,NA,NA,18
2020-07-03,4,dąbrowski,15,0,11,2,12,1,0,0,NA,NA,NA,NA,NA,NA,NA,0
2020-07-03,5,gorlicki,10,0,7,1,6,1,0,0,NA,NA,NA,NA,NA,NA,NA,2
2020-07-03,6,krakowski,86,1,64,4,38,19,0,0,NA,NA,NA,NA,NA,NA,NA,25
2020-07-03,7,limanowski,125,3,104,0,68,25,0,0,NA,NA,NA,NA,NA,NA,NA,32
2020-07-03,8,miechowski,12,0,12,0,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,7
2020-07-03,9,myślenicki,159,0,149,0,86,18,0,0,NA,NA,NA,NA,NA,NA,NA,55
2020-07-03,10,nowosądecki,119,0,31,7,112,0,0,0,NA,NA,NA,NA,NA,NA,NA,0
2020-07-03,11,nowotarski,14,0,9,2,4,1,0,0,NA,NA,NA,NA,NA,NA,NA,7
2020-07-03,12,olkuski,13,0,10,1,0,5,0,0,NA,NA,NA,NA,NA,NA,NA,7
2020-07-03,13,oświęcimski,107,4,70,2,48,13,0,0,NA,NA,NA,NA,NA,NA,NA,44
2020-07-03,14,proszowicki,11,2,6,0,0,5,0,0,NA,NA,NA,NA,NA,NA,NA,6
2020-07-03,15,suski,194,0,112,0,115,0,0,0,NA,NA,NA,NA,NA,NA,NA,79
2020-07-03,16,tarnowski,113,3,24,3,82,2,22,0,NA,NA,NA,NA,NA,NA,NA,4
2020-07-03,17,tatrzański,7,0,4,1,4,1,0,0,NA,NA,NA,NA,NA,NA,NA,1
2020-07-03,18,wadowicki,34,2,17,0,16,4,0,0,NA,NA,NA,NA,NA,NA,NA,14
2020-07-03,19,wielicki,127,5,116,1,117,9,0,0,NA,NA,NA,NA,NA,NA,NA,0
2020-07-03,20,m. Kraków,344,19,249,23,104,99,0,0,NA,NA,NA,NA,NA,NA,NA,118
2020-07-03,21,m. Nowy Sącz,43,0,28,3,39,1,0,0,NA,NA,NA,NA,NA,NA,NA,0
2020-07-03,22,m. Tarnów,14,0,12,8,3,2,0,0,NA,NA,NA,NA,NA,NA,NA,1
2020-07-04,1,bocheński,152,3,140,2,65,12,54,0,NA,NA,NA,NA,NA,NA,NA,19
2020-07-04,2,brzeski,69,2,64,2,5,48,0,2,NA,NA,NA,NA,NA,NA,NA,12
2020-07-04,3,chrzanowski,37,0,24,1,18,0,0,0,NA,NA,NA,NA,NA,NA,NA,18
2020-07-04,4,dąbrowski,15,0,11,2,12,1,0,0,NA,NA,NA,NA,NA,NA,NA,0
2020-07-04,5,gorlicki,10,0,7,1,6,1,0,0,NA,NA,NA,NA,NA,NA,NA,2
2020-07-04,6,krakowski,87,1,66,4,38,19,0,0,NA,NA,NA,NA,NA,NA,NA,26
2020-07-04,7,limanowski,130,3,104,0,73,25,0,0,NA,NA,NA,NA,NA,NA,NA,32
2020-07-04,8,miechowski,12,0,12,0,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,7
2020-07-04,9,myślenicki,159,0,150,0,86,18,0,0,NA,NA,NA,NA,NA,NA,NA,55
2020-07-04,10,nowosądecki,132,0,31,7,125,0,0,0,NA,NA,NA,NA,NA,NA,NA,0
2020-07-04,11,nowotarski,15,0,10,2,4,1,0,0,NA,NA,NA,NA,NA,NA,NA,8
2020-07-04,12,olkuski,13,0,10,1,0,5,0,0,NA,NA,NA,NA,NA,NA,NA,7
2020-07-04,13,oświęcimski,107,4,70,2,48,13,0,0,NA,NA,NA,NA,NA,NA,NA,44
2020-07-04,14,proszowicki,11,2,6,0,0,5,0,0,NA,NA,NA,NA,NA,NA,NA,6
2020-07-04,15,suski,194,0,121,0,115,0,0,0,NA,NA,NA,NA,NA,NA,NA,79
2020-07-04,16,tarnowski,114,3,25,3,83,2,22,0,NA,NA,NA,NA,NA,NA,NA,4
2020-07-04,17,tatrzański,7,0,4,1,4,1,0,0,NA,NA,NA,NA,NA,NA,NA,1
2020-07-04,18,wadowicki,35,2,19,0,17,4,0,0,NA,NA,NA,NA,NA,NA,NA,14
2020-07-04,19,wielicki,127,5,116,1,117,9,0,0,NA,NA,NA,NA,NA,NA,NA,0
